indicator,byvar,agevar
houseGE30_all,age5_v2,age5_v2
houseGE30_all,hhwchild,age5_v2
houseGE30_all,hispanichh,age5_v2
houseGE30_all,income7,age5_v2
houseGE30_all,phi_sex,age5_v2
houseGE30_all,poverty4hh,age5_v2
houseGE30_all,race3hh,age5_v2
houseGE30_all,race4hh,age5_v2
houseGE30_free,age5_v2,age5_v2
houseGE30_free,hhwchild,age5_v2
houseGE30_free,hispanichh,age5_v2
houseGE30_free,income7,age5_v2
houseGE30_free,phi_sex,age5_v2
houseGE30_free,poverty4hh,age5_v2
houseGE30_free,race3hh,age5_v2
houseGE30_free,race4hh,age5_v2
houseGE30_mort,age5_v2,age5_v2
houseGE30_mort,hhwchild,age5_v2
houseGE30_mort,hispanichh,age5_v2
houseGE30_mort,income7,age5_v2
houseGE30_mort,phi_sex,age5_v2
houseGE30_mort,poverty4hh,age5_v2
houseGE30_mort,race3hh,age5_v2
houseGE30_mort,race4hh,age5_v2
houseGE30_rent,age5_v2,age5_v2
houseGE30_rent,hhwchild,age5_v2
houseGE30_rent,hispanichh,age5_v2
houseGE30_rent,income7,age5_v2
houseGE30_rent,phi_sex,age5_v2
houseGE30_rent,poverty4hh,age5_v2
houseGE30_rent,race3hh,age5_v2
houseGE30_rent,race4hh,age5_v2
houseGE50_all,age5_v2,age5_v2
houseGE50_all,hhwchild,age5_v2
houseGE50_all,hispanichh,age5_v2
houseGE50_all,income7,age5_v2
houseGE50_all,phi_sex,age5_v2
houseGE50_all,poverty4hh,age5_v2
houseGE50_all,race3hh,age5_v2
houseGE50_all,race4hh,age5_v2
houseGE50_free,age5_v2,age5_v2
houseGE50_free,hhwchild,age5_v2
houseGE50_free,hispanichh,age5_v2
houseGE50_free,income7,age5_v2
houseGE50_free,phi_sex,age5_v2
houseGE50_free,poverty4hh,age5_v2
houseGE50_free,race3hh,age5_v2
houseGE50_free,race4hh,age5_v2
houseGE50_mort,age5_v2,age5_v2
houseGE50_mort,hhwchild,age5_v2
houseGE50_mort,hispanichh,age5_v2
houseGE50_mort,income7,age5_v2
houseGE50_mort,phi_sex,age5_v2
houseGE50_mort,poverty4hh,age5_v2
houseGE50_mort,race3hh,age5_v2
houseGE50_mort,race4hh,age5_v2
houseGE50_rent,age5_v2,age5_v2
houseGE50_rent,hhwchild,age5_v2
houseGE50_rent,hispanichh,age5_v2
houseGE50_rent,income7,age5_v2
houseGE50_rent,phi_sex,age5_v2
houseGE50_rent,poverty4hh,age5_v2
houseGE50_rent,race3hh,age5_v2
houseGE50_rent,race4hh,age5_v2
houseLT30_all,age5_v2,age5_v2
houseLT30_all,hhwchild,age5_v2
houseLT30_all,hispanichh,age5_v2
houseLT30_all,income7,age5_v2
houseLT30_all,phi_sex,age5_v2
houseLT30_all,poverty4hh,age5_v2
houseLT30_all,race3hh,age5_v2
houseLT30_all,race4hh,age5_v2
houseLT30_free,age5_v2,age5_v2
houseLT30_free,hhwchild,age5_v2
houseLT30_free,hispanichh,age5_v2
houseLT30_free,income7,age5_v2
houseLT30_free,phi_sex,age5_v2
houseLT30_free,poverty4hh,age5_v2
houseLT30_free,race3hh,age5_v2
houseLT30_free,race4hh,age5_v2
houseLT30_mort,age5_v2,age5_v2
houseLT30_mort,hhwchild,age5_v2
houseLT30_mort,hispanichh,age5_v2
houseLT30_mort,income7,age5_v2
houseLT30_mort,phi_sex,age5_v2
houseLT30_mort,poverty4hh,age5_v2
houseLT30_mort,race3hh,age5_v2
houseLT30_mort,race4hh,age5_v2
houseLT30_rent,age5_v2,age5_v2
houseLT30_rent,hhwchild,age5_v2
houseLT30_rent,hispanichh,age5_v2
houseLT30_rent,income7,age5_v2
houseLT30_rent,phi_sex,age5_v2
houseLT30_rent,poverty4hh,age5_v2
houseLT30_rent,race3hh,age5_v2
houseLT30_rent,race4hh,age5_v2
houseLT50_all,age5_v2,age5_v2
houseLT50_all,hhwchild,age5_v2
houseLT50_all,hispanichh,age5_v2
houseLT50_all,income7,age5_v2
houseLT50_all,phi_sex,age5_v2
houseLT50_all,poverty4hh,age5_v2
houseLT50_all,race3hh,age5_v2
houseLT50_all,race4hh,age5_v2
houseLT50_free,age5_v2,age5_v2
houseLT50_free,hhwchild,age5_v2
houseLT50_free,hispanichh,age5_v2
houseLT50_free,income7,age5_v2
houseLT50_free,phi_sex,age5_v2
houseLT50_free,poverty4hh,age5_v2
houseLT50_free,race3hh,age5_v2
houseLT50_free,race4hh,age5_v2
houseLT50_mort,age5_v2,age5_v2
houseLT50_mort,hhwchild,age5_v2
houseLT50_mort,hispanichh,age5_v2
houseLT50_mort,income7,age5_v2
houseLT50_mort,phi_sex,age5_v2
houseLT50_mort,poverty4hh,age5_v2
houseLT50_mort,race3hh,age5_v2
houseLT50_mort,race4hh,age5_v2
houseLT50_rent,age5_v2,age5_v2
houseLT50_rent,hhwchild,age5_v2
houseLT50_rent,hispanichh,age5_v2
houseLT50_rent,income7,age5_v2
houseLT50_rent,phi_sex,age5_v2
houseLT50_rent,poverty4hh,age5_v2
houseLT50_rent,race3hh,age5_v2
houseLT50_rent,race4hh,age5_v2
internet,age5_v2,age5_v2
internet,hhwchild,age5_v2
internet,hispanichh,age5_v2
internet,income7,age5_v2
internet,phi_sex,age5_v2
internet,poverty4hh,age5_v2
internet,race3hh,age5_v2
internet,race4hh,age5_v2
lingisol,age5_v2,age5_v2
lingisol,hhwchild,age5_v2
lingisol,hispanichh,age5_v2
lingisol,income7,age5_v2
lingisol,phi_sex,age5_v2
lingisol,poverty4hh,age5_v2
lingisol,race3hh,age5_v2
lingisol,race4hh,age5_v2
medinc,age5_v2,age5_v2
medinc,race4hh,age5_v2
snap,age5_v2,age5_v2
snap,hhwchild,age5_v2
snap,hispanichh,age5_v2
snap,income7,age5_v2
snap,phi_sex,age5_v2
snap,poverty4hh,age5_v2
snap,race3hh,age5_v2
snap,race4hh,age5_v2
snap60,age5_v2,age5_v2
snap60,hhwchild,age5_v2
snap60,hispanichh,age5_v2
snap60,income7,age5_v2
snap60,phi_sex,age5_v2
snap60,poverty4hh,age5_v2
snap60,race3hh,age5_v2
snap60,race4hh,age5_v2
snapu18,age5_v2,age5_v2
snapu18,hhwchild,age5_v2
snapu18,hispanichh,age5_v2
snapu18,income7,age5_v2
snapu18,phi_sex,age5_v2
snapu18,poverty4hh,age5_v2
snapu18,race3hh,age5_v2
snapu18,race4hh,age5_v2
