indicator,byvar,agevar
bike,agetran,agetran
bike,disability,agetran
bike,hispanic,agetran
bike,phi_sex,agetran
bike,poverty4,agetran
bike,race3,agetran
bike,race4,agetran
carpool,agetran,agetran
carpool,disability,agetran
carpool,hispanic,agetran
carpool,phi_sex,agetran
carpool,poverty4,agetran
carpool,race3,agetran
carpool,race4,agetran
chinese,agelang,agelang
chinese,disability,agelang
chinese,hispanic,agelang
chinese,income7,agelang
chinese,nativity,agelang
chinese,phi_sex,agelang
chinese,poverty4,agelang
chinese,race3,agelang
chinese,race4,agelang
CLF,agework,agework
CLF,disability,agework
CLF,hispanic,agework
CLF,phi_sex,agework
CLF,poverty4,agework
CLF,race3,agework
CLF,race4,agework
commute90,agetran,agetran
commute90,disability,agetran
commute90,hispanic,agetran
commute90,phi_sex,agetran
commute90,poverty4,agetran
commute90,race3,agetran
commute90,race4,agetran
drive,agetran,agetran
drive,disability,agetran
drive,hispanic,agetran
drive,phi_sex,agetran
drive,poverty4,agetran
drive,race3,agetran
drive,race4,agetran
emplCLF,agework,agework
emplCLF,disability,agework
emplCLF,hispanic,agework
emplCLF,phi_sex,agework
emplCLF,poverty4,agework
emplCLF,race3,agework
emplCLF,race4,agework
employ,agework,agework
employ,disability,agework
employ,hispanic,agework
employ,phi_sex,agework
employ,poverty4,agework
employ,race3,agework
employ,race4,agework
forborn2,age6,age6
forborn2,disability,age6
forborn2,hispanic,age6
forborn2,income7,age6
forborn2,phi_sex,age6
forborn2,poverty4,age6
forborn2,race3,age6
forborn2,race4,age6
GEpov200,age6,age6
GEpov200,disability,age6
GEpov200,hispanic,age6
GEpov200,phi_sex,age6
GEpov200,race3,age6
GEpov200,race4,age6
home,agetran,agetran
home,disability,agetran
home,hispanic,agetran
home,phi_sex,agetran
home,poverty4,agetran
home,race3,agetran
home,race4,agetran
korean,agelang,agelang
korean,disability,agelang
korean,hispanic,agelang
korean,income7,agelang
korean,nativity,agelang
korean,phi_sex,agelang
korean,poverty4,agelang
korean,race3,agelang
korean,race4,agelang
LTBA,ageedu,ageedu
LTBA,disability,ageedu
LTBA,hispanic,ageedu
LTBA,phi_sex,ageedu
LTBA,poverty4,ageedu
LTBA,race3,ageedu
LTBA,race4,ageedu
LTHS,ageedu,ageedu
LTHS,disability,ageedu
LTHS,hispanic,ageedu
LTHS,phi_sex,ageedu
LTHS,poverty4,ageedu
LTHS,race3,ageedu
LTHS,race4,ageedu
othlang,agelang,agelang
othlang,disability,agelang
othlang,hispanic,agelang
othlang,income7,agelang
othlang,nativity,agelang
othlang,phi_sex,agelang
othlang,poverty4,agelang
othlang,race3,agelang
othlang,race4,agelang
pooreng,agelang,agelang
pooreng,disability,agelang
pooreng,hispanic,agelang
pooreng,income7,agelang
pooreng,nativity,agelang
pooreng,phi_sex,agelang
pooreng,poverty4,agelang
pooreng,race3,agelang
pooreng,race4,agelang
pov100,age6,age6
pov100,disability,age6
pov100,hispanic,age6
pov100,phi_sex,age6
pov100,race3,age6
pov100,race4,age6
pov200,age6,age6
pov200,disability,age6
pov200,hispanic,age6
pov200,phi_sex,age6
pov200,race3,age6
pov200,race4,age6
pov74,disability,age6
pov74,hispanic,age6
pov74,phi_sex,age6
pov74,race3,age6
pov74,race4,age6
pov75,disability,age6
pov75,hispanic,age6
pov75,phi_sex,age6
pov75,race3,age6
pov75,race4,age6
povold,disability,age6
povold,hispanic,age6
povold,phi_sex,age6
povold,race3,age6
povold,race4,age6
povu18,disability,age6
povu18,hispanic,age6
povu18,phi_sex,age6
povu18,race3,age6
povu18,race4,age6
povu5,disability,age6
povu5,hispanic,age6
povu5,phi_sex,age6
povu5,race3,age6
povu5,race4,age6
pubtran,agetran,agetran
pubtran,disability,agetran
pubtran,hispanic,agetran
pubtran,phi_sex,agetran
pubtran,poverty4,agetran
pubtran,race3,agetran
pubtran,race4,agetran
spanish,agelang,agelang
spanish,disability,agelang
spanish,hispanic,agelang
spanish,income7,agelang
spanish,nativity,agelang
spanish,phi_sex,agelang
spanish,poverty4,agelang
spanish,race3,agelang
spanish,race4,agelang
tagalog,agelang,agelang
tagalog,disability,agelang
tagalog,hispanic,agelang
tagalog,income7,agelang
tagalog,nativity,agelang
tagalog,phi_sex,agelang
tagalog,poverty4,agelang
tagalog,race3,agelang
tagalog,race4,agelang
ui138199,age6,age6
ui138199,disability,age6
ui138199,hispanic,age6
ui138199,phi_sex,age6
ui138199,race3,age6
ui138199,race4,age6
ui138399,age6,age6
ui138399,disability,age6
ui138399,hispanic,age6
ui138399,phi_sex,age6
ui138399,race3,age6
ui138399,race4,age6
ui1864,disability,age6
ui1864,hispanic,age6
ui1864,phi_sex,age6
ui1864,poverty4,age6
ui1864,race3,age6
ui1864,race4,age6
ui200399,age6,age6
ui200399,disability,age6
ui200399,hispanic,age6
ui200399,phi_sex,age6
ui200399,race3,age6
ui200399,race4,age6
uifem1864,disability,age6
uifem1864,hispanic,age6
uifem1864,poverty4,age6
uifem1864,race3,age6
uifem1864,race4,age6
uige400,age6,age6
uige400,disability,age6
uige400,hispanic,age6
uige400,phi_sex,age6
uige400,race3,age6
uige400,race4,age6
uiLT138,age6,age6
uiLT138,disability,age6
uiLT138,hispanic,age6
uiLT138,phi_sex,age6
uiLT138,race3,age6
uiLT138,race4,age6
uimale1864,disability,age6
uimale1864,hispanic,age6
uimale1864,poverty4,age6
uimale1864,race3,age6
uimale1864,race4,age6
unemp,agework,agework
unemp,disability,agework
unemp,hispanic,agework
unemp,phi_sex,agework
unemp,poverty4,agework
unemp,race3,agework
unemp,race4,agework
unspeclang,agelang,agelang
unspeclang,disability,agelang
unspeclang,hispanic,agelang
unspeclang,income7,agelang
unspeclang,nativity,agelang
unspeclang,phi_sex,agelang
unspeclang,poverty4,agelang
unspeclang,race3,agelang
unspeclang,race4,agelang
vietn,agelang,agelang
vietn,disability,agelang
vietn,hispanic,agelang
vietn,income7,agelang
vietn,nativity,agelang
vietn,phi_sex,agelang
vietn,poverty4,agelang
vietn,race3,agelang
vietn,race4,agelang
walk,agetran,agetran
walk,disability,agetran
walk,hispanic,agetran
walk,phi_sex,agetran
walk,poverty4,agetran
walk,race3,agetran
walk,race4,agetran
yeet,hispanic,age6
yeet,nonpdx,age6
yeet,phi_sex,age6
yeet,race3,age6
yeet,race4,age6
yeet,youth_binary,age6
