indicator,byvar.1,byvar.2
yeet,nonseattle,race3
yeet,nonseattle,hispanic
yeet,nonseattle,race4
yeet,nonseattle,chi_sex
yeet,nonseattle,youth_binary
yeet,race3,nonseattle
yeet,race3,hispanic
yeet,race3,race4
yeet,race3,chi_sex
yeet,race3,youth_binary
yeet,hispanic,nonseattle
yeet,hispanic,race3
yeet,hispanic,race4
yeet,hispanic,chi_sex
yeet,hispanic,youth_binary
yeet,race4,nonseattle
yeet,race4,race3
yeet,race4,hispanic
yeet,race4,chi_sex
yeet,race4,youth_binary
yeet,chi_sex,nonseattle
yeet,chi_sex,race3
yeet,chi_sex,hispanic
yeet,chi_sex,race4
yeet,chi_sex,youth_binary
yeet,youth_binary,nonseattle
yeet,youth_binary,race3
yeet,youth_binary,hispanic
yeet,youth_binary,race4
yeet,youth_binary,chi_sex
